,index,numberOfGroups,pubNum,locality,numOfCoop,method,application_id,server_id,x,y,capacity,used,connection,cp,mpnum,cluster_id,a,b,d
0,0,64,2,5,4,RLCCA,1,1,5.0,5.0,640,634.0,100,2948.0,22,3,1.0,1.0,5.326061600567473
1,1,64,2,5,4,RLCCA,1,2,10.0,5.0,640,338.0,73,1792.0,13,3,1.0,1.0,5.745191089610862
2,2,64,2,5,4,RLCCA,1,3,15.0,5.0,640,638.0,112,3170.0,23,1,1.0,1.0,5.297893447444092
3,3,64,2,5,4,RLCCA,1,4,20.0,5.0,640,572.0,71,2014.0,21,1,1.0,1.0,5.00505503166025
4,4,64,2,5,4,RLCCA,1,5,5.0,10.0,640,0.0,0,0.0,0,3,1.0,1.0,
5,5,64,2,5,4,RLCCA,1,6,10.0,10.0,640,0.0,0,0.0,0,3,1.0,1.0,
6,6,64,2,5,4,RLCCA,1,7,15.0,10.0,640,140.0,14,374.0,5,1,1.0,1.0,5.823701870330522
7,7,64,2,5,4,RLCCA,1,8,20.0,10.0,640,0.0,0,0.0,0,1,1.0,1.0,
8,8,64,2,5,4,RLCCA,1,9,5.0,15.0,640,512.0,97,3200.0,18,0,1.0,1.0,5.713789700357096
9,9,64,2,5,4,RLCCA,1,10,10.0,15.0,640,464.0,91,2644.0,17,0,1.0,1.0,6.370936127770567
10,10,64,2,5,4,RLCCA,1,11,15.0,15.0,640,500.0,107,3188.0,17,2,1.0,1.0,5.635058346020204
11,11,64,2,5,4,RLCCA,1,12,20.0,15.0,640,560.0,93,2506.0,21,2,1.0,1.0,5.323902941603349
12,12,64,2,5,4,RLCCA,1,13,5.0,20.0,640,462.0,76,2296.0,17,0,1.0,1.0,4.963787862073751
13,13,64,2,5,4,RLCCA,1,14,10.0,20.0,640,0.0,0,0.0,0,0,1.0,1.0,
14,14,64,2,5,4,RLCCA,1,15,15.0,20.0,640,256.0,61,1584.0,10,2,1.0,1.0,6.285976387150014
15,15,64,2,5,4,RLCCA,1,16,20.0,20.0,640,0.0,0,0.0,0,2,1.0,1.0,
16,0,64,2,5,4,RLCCA,1,1,5.0,5.0,640,634.0,100,2948.0,22,3,1.0,1.0,5.326061600567473
17,1,64,2,5,4,RLCCA,1,2,10.0,5.0,640,338.0,73,1792.0,13,3,1.0,1.0,5.745191089610862
18,2,64,2,5,4,RLCCA,1,3,15.0,5.0,640,638.0,112,3170.0,23,1,1.0,1.0,5.297893447444092
19,3,64,2,5,4,RLCCA,1,4,20.0,5.0,640,572.0,71,2014.0,21,1,1.0,1.0,5.00505503166025
20,4,64,2,5,4,RLCCA,1,5,5.0,10.0,640,0.0,0,0.0,0,3,1.0,1.0,
21,5,64,2,5,4,RLCCA,1,6,10.0,10.0,640,0.0,0,0.0,0,3,1.0,1.0,
22,6,64,2,5,4,RLCCA,1,7,15.0,10.0,640,140.0,14,374.0,5,1,1.0,1.0,5.823701870330522
23,7,64,2,5,4,RLCCA,1,8,20.0,10.0,640,0.0,0,0.0,0,1,1.0,1.0,
24,8,64,2,5,4,RLCCA,1,9,5.0,15.0,640,512.0,97,3200.0,18,0,1.0,1.0,5.713789700357096
25,9,64,2,5,4,RLCCA,1,10,10.0,15.0,640,464.0,91,2644.0,17,0,1.0,1.0,6.370936127770567
26,10,64,2,5,4,RLCCA,1,11,15.0,15.0,640,500.0,107,3188.0,17,2,1.0,1.0,5.635058346020204
27,11,64,2,5,4,RLCCA,1,12,20.0,15.0,640,560.0,93,2506.0,21,2,1.0,1.0,5.323902941603349
28,12,64,2,5,4,RLCCA,1,13,5.0,20.0,640,462.0,76,2296.0,17,0,1.0,1.0,4.963787862073751
29,13,64,2,5,4,RLCCA,1,14,10.0,20.0,640,0.0,0,0.0,0,0,1.0,1.0,
30,14,64,2,5,4,RLCCA,1,15,15.0,20.0,640,256.0,61,1584.0,10,2,1.0,1.0,6.285976387150014
31,15,64,2,5,4,RLCCA,1,16,20.0,20.0,640,0.0,0,0.0,0,2,1.0,1.0,
32,0,64,2,5,4,RLCCA,1,1,5.0,5.0,640,634.0,100,2948.0,22,3,1.0,1.0,5.326061600567473
33,1,64,2,5,4,RLCCA,1,2,10.0,5.0,640,338.0,73,1792.0,13,3,1.0,1.0,5.745191089610862
34,2,64,2,5,4,RLCCA,1,3,15.0,5.0,640,638.0,112,3170.0,23,1,1.0,1.0,5.297893447444092
35,3,64,2,5,4,RLCCA,1,4,20.0,5.0,640,572.0,71,2014.0,21,1,1.0,1.0,5.00505503166025
36,4,64,2,5,4,RLCCA,1,5,5.0,10.0,640,0.0,0,0.0,0,3,1.0,1.0,
37,5,64,2,5,4,RLCCA,1,6,10.0,10.0,640,0.0,0,0.0,0,3,1.0,1.0,
38,6,64,2,5,4,RLCCA,1,7,15.0,10.0,640,140.0,14,374.0,5,1,1.0,1.0,5.823701870330522
39,7,64,2,5,4,RLCCA,1,8,20.0,10.0,640,0.0,0,0.0,0,1,1.0,1.0,
40,8,64,2,5,4,RLCCA,1,9,5.0,15.0,640,512.0,97,3200.0,18,0,1.0,1.0,5.713789700357096
41,9,64,2,5,4,RLCCA,1,10,10.0,15.0,640,464.0,91,2644.0,17,0,1.0,1.0,6.370936127770567
42,10,64,2,5,4,RLCCA,1,11,15.0,15.0,640,500.0,107,3188.0,17,2,1.0,1.0,5.635058346020204
43,11,64,2,5,4,RLCCA,1,12,20.0,15.0,640,560.0,93,2506.0,21,2,1.0,1.0,5.323902941603349
44,12,64,2,5,4,RLCCA,1,13,5.0,20.0,640,462.0,76,2296.0,17,0,1.0,1.0,4.963787862073751
45,13,64,2,5,4,RLCCA,1,14,10.0,20.0,640,0.0,0,0.0,0,0,1.0,1.0,
46,14,64,2,5,4,RLCCA,1,15,15.0,20.0,640,256.0,61,1584.0,10,2,1.0,1.0,6.285976387150014
47,15,64,2,5,4,RLCCA,1,16,20.0,20.0,640,0.0,0,0.0,0,2,1.0,1.0,
48,0,64,2,5,4,RLCCA,1,1,5.0,5.0,640,634.0,100,2948.0,22,3,1.0,1.0,5.326061600567473
49,1,64,2,5,4,RLCCA,1,2,10.0,5.0,640,338.0,73,1792.0,13,3,1.0,1.0,5.745191089610862
50,2,64,2,5,4,RLCCA,1,3,15.0,5.0,640,638.0,112,3170.0,23,1,1.0,1.0,5.297893447444092
51,3,64,2,5,4,RLCCA,1,4,20.0,5.0,640,572.0,71,2014.0,21,1,1.0,1.0,5.00505503166025
52,4,64,2,5,4,RLCCA,1,5,5.0,10.0,640,0.0,0,0.0,0,3,1.0,1.0,
53,5,64,2,5,4,RLCCA,1,6,10.0,10.0,640,0.0,0,0.0,0,3,1.0,1.0,
54,6,64,2,5,4,RLCCA,1,7,15.0,10.0,640,140.0,14,374.0,5,1,1.0,1.0,5.823701870330522
55,7,64,2,5,4,RLCCA,1,8,20.0,10.0,640,0.0,0,0.0,0,1,1.0,1.0,
56,8,64,2,5,4,RLCCA,1,9,5.0,15.0,640,512.0,97,3200.0,18,0,1.0,1.0,5.713789700357096
57,9,64,2,5,4,RLCCA,1,10,10.0,15.0,640,464.0,91,2644.0,17,0,1.0,1.0,6.370936127770567
58,10,64,2,5,4,RLCCA,1,11,15.0,15.0,640,500.0,107,3188.0,17,2,1.0,1.0,5.635058346020204
59,11,64,2,5,4,RLCCA,1,12,20.0,15.0,640,560.0,93,2506.0,21,2,1.0,1.0,5.323902941603349
