numberofclusters
1
25
50
75
100

numberOfSender,numberOfClient,kindOfDocument,numberOfCachedDocument,meanOfUsed,meanOfCachedDocs,minOfUsed,maxOfUsed,saved,rateOfsaved

914,1865,914,8394,78.97,78.97,13.0,427.0,497,0.0592089588
914,1865,914,8394,56.57,56.57,0.0,298.0,2737,0.3260662378
914,1865,914,8394,62.49,62.49,0.0,511.0,2145,0.2555396712
914,1865,914,8394,77.97,77.97,6.0,451.0,597,0.0711222302
914,1865,914,8394,60.46,60.46,0.0,147.0,2348,0.2797236121
914,1865,914,8394,60.20,60.20,0.0,560.0,2374,0.2828210627
914,1865,914,8394,58.02,58.02,0.0,351.0,2592,0.3087919943
914,1865,914,8394,56.18,56.18,0.0,143.0,2776,0.3307124136
914,1865,914,8394,55.63,55.63,0.0,157.0,2831,0.3372647129
